zipcode,confirmed_cases,deaths
91615,315615,7140
91324,315615,7140
91205,315615,7140
91306,315615,7140
91343,315615,7140
91206,315615,7140
91755,315615,7140
91733,315615,7140
91801,315615,7140
91767,315615,7140
91789,315615,7140
91775,315615,7140
90602,315615,7140
90030,315615,7140
90409,315615,7140
91353,315615,7140
91802,315615,7140
91209,315615,7140
90609,315615,7140
91385,315615,7140
91327,315615,7140
91734,315615,7140
91788,315615,7140
90608,315615,7140
90702,315615,7140
90072,315615,7140
91222,315615,7140
91012,315615,7140
91123,315615,7140
91716,315615,7140
91521,315615,7140
91611,315615,7140
90074,315615,7140
90044,315615,7140
90057,315615,7140
90041,315615,7140
90045,315615,7140
90031,315615,7140
90028,315615,7140
90266,315615,7140
90272,315615,7140
90303,315615,7140
90304,315615,7140
90290,315615,7140
90503,315615,7140
90002,315615,7140
90020,315615,7140
90014,315615,7140
90803,315615,7140
90703,315615,7140
90717,315615,7140
90251,315615,7140
90083,315615,7140
91030,315615,7140
91010,315615,7140
93535,315615,7140
93591,315615,7140
91502,315615,7140
91345,315615,7140
91503,315615,7140
91510,315615,7140
91335,315615,7140
91303,315615,7140
91311,315615,7140
91750,315615,7140
91702,315615,7140
91745,315615,7140
91773,315615,7140
91791,315615,7140
90601,315615,7140
90670,315615,7140
90075,315615,7140
91025,315615,7140
91396,315615,7140
91416,315615,7140
91608,315615,7140
91017,315615,7140
90052,315615,7140
90073,315615,7140
90822,315615,7140
90261,315615,7140
93063,315615,7140
93599,315615,7140
91756,315615,7140
91126,315615,7140
90895,315615,7140
90049,315615,7140
90034,315615,7140
90042,315615,7140
90033,315615,7140
90036,315615,7140
90037,315615,7140
90062,315615,7140
90292,315615,7140
90003,315615,7140
90024,315615,7140
90015,315615,7140
90008,315615,7140
90504,315615,7140
90712,315615,7140
90732,315615,7140
90804,315615,7140
90701,315615,7140
90071,315615,7140
90067,315615,7140
90068,315615,7140
90094,315615,7140
90240,315615,7140
90221,315615,7140
90224,315615,7140
90260,315615,7140
90089,315615,7140
91020,315615,7140
91103,315615,7140
90814,315615,7140
91011,315615,7140
91016,315615,7140
91104,315615,7140
91041,315615,7140
93536,315615,7140
93551,315615,7140
93544,315615,7140
91390,315615,7140
91401,315615,7140
91403,315615,7140
91504,315615,7140
91376,315615,7140
91357,315615,7140
91381,315615,7140
91602,315615,7140
91607,315615,7140
91724,315615,7140
91722,315615,7140
91770,315615,7140
90606,315615,7140
90086,315615,7140
90809,315615,7140
91310,315615,7140
90623,315615,7140
90076,315615,7140
90853,315615,7140
91225,315615,7140
90833,315615,7140
91409,315615,7140
91066,315615,7140
91305,315615,7140
90747,315615,7140
91382,315615,7140
91495,315615,7140
91522,315615,7140
91383,315615,7140
91188,315615,7140
91470,315615,7140
91125,315615,7140
90263,315615,7140
91710,315615,7140
91804,315615,7140
91189,315615,7140
91896,315615,7140
90704,315615,7140
90844,315615,7140
90065,315615,7140
90055,315615,7140
90066,315615,7140
90404,315615,7140
90277,315615,7140
90280,315615,7140
90278,315615,7140
90501,315615,7140
90011,315615,7140
90009,315615,7140
90731,315615,7140
90806,315615,7140
90713,315615,7140
90755,315615,7140
90510,315615,7140
90749,315615,7140
90249,315615,7140
90093,315615,7140
90201,315615,7140
90262,315615,7140
90222,315615,7140
90239,315615,7140
91101,315615,7140
91106,315615,7140
90813,315615,7140
91040,315615,7140
91077,315615,7140
91117,315615,7140
93539,315615,7140
91384,315615,7140
91393,315615,7140
91361,315615,7140
91505,315615,7140
91331,315615,7140
91316,315615,7140
91711,315615,7140
91706,315615,7140
91740,315615,7140
90631,315615,7140
90638,315615,7140
90650,315615,7140
90051,315615,7140
91610,315615,7140
91224,315615,7140
91226,315615,7140
90406,315615,7140
91102,315615,7140
90607,315615,7140
90202,315615,7140
91386,315615,7140
91407,315615,7140
90308,315615,7140
90070,315615,7140
91709,315615,7140
91023,315615,7140
91329,315615,7140
90639,315615,7140
91714,315615,7140
90090,315615,7140
91496,315615,7140
91772,315615,7140
91182,315615,7140
90054,315615,7140
