zipcode,popu_ratio_white,popu_ratio_black,popu_ratio_asian,mid_age,jail,bachelorplus,highschool,employ,hh_ratio_married,meanic_fam
95307,0.68,0.04,0.03,31.64,0.02,0.08,0.7,0.65,0.51,74847.86
95315,0.54,0.01,0.03,31.65,0.02,0.08,0.6,0.61,0.51,64496.5
95316,0.9,0.0,0.0,40.3,0.0,0.18,0.82,0.69,0.63,98502.0
95319,0.69,0.02,0.0,35.0,0.02,0.07,0.6,0.59,0.43,55947.0
95320,0.9,0.0,0.0,34.6,0.01,0.15,0.89,0.77,0.46,85203.0
95322,0.85,0.0,0.01,33.8,-0.01,0.1,0.58,0.59,0.34,59599.0
95324,0.67,0.0,0.02,35.45,0.03,0.09,0.64,0.71,0.52,77399.5
95325,0.86,0.04,0.0,47.9,0.01,0.24,0.91,0.66,0.45,69080.0
95326,0.83,0.0,0.02,35.0,0.01,0.13,0.77,0.66,0.52,82218.5
95330,0.56,0.03,0.15,35.42,0.01,0.14,0.77,0.68,0.6,87025.5
95333,0.69,0.01,0.01,36.2,0.03,0.11,0.62,0.67,0.54,72903.0
